COMMENT,NRI burma14 autogeneration or parameters for 90 percent load factor
SORT_BY,0
LABEL,NRI
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
333.531429,35848
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
343.771429,35855
351.085714,36040
351.085714,36040
351.085714,36040
351.085714,36040
351.085714,36040
351.085714,36040
351.085714,36040
351.085714,36040
356.571429,36108
356.571429,36108
356.571429,36108
356.571429,36108
356.571429,36108
360.838095,36027
360.838095,36027
360.838095,36027
360.838095,36027
364.251429,36261
364.251429,36261
364.251429,36261
364.251429,36261
367.044156,36038
367.044156,36038
367.044156,36038
369.371429,36088
369.371429,36088
371.340659,35955
371.340659,35955
373.028571,36007
373.028571,36007
374.491429,36141
375.771429,36096
376.90084,36061
377.904762,36061
378.803008,36061
379.611429,36061
380.342857,36061
381.007792,36061
383.512381,36349
383.512381,36349
386.285714,36388
386.285714,36388
386.285714,36388
388.732773,36299
388.732773,36299
390.907937,36260
390.907937,36260
392.854135,36363
392.854135,36363
394.605714,36379
394.605714,36379
396.190476,36198
396.190476,36198
397.631169,36160
398.946584,36254
400.152381,36184
400.152381,36184
401.261714,36184
402.285714,36184
403.233862,36184
404.114286,36184
405.699048,36184
406.414747,36184
407.085714,36184
408.309244,36184
409.396825,36184
410.369925,36184
411.245714,36184
412.038095,36184
413.094603,36184
414.019048,36184
415.085714,36184
416,36184
417.290449,36380
418.273882,36380
419.183094,36380
420.026182,36380
421.181793,36380
422.223738,36380
423.168,36380
424.027701,36380
425.060958,36380
426.199579,36380
427.008,36380
428.079628,36380
429.011478,36380
430.08,36380
431.050549,36339
432,36339
433.01171,36339
434.026439,36339
435.002317,36339
436.087291,36627
437.073171,36627
438.055358,36627
439.004275,36627
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
482.742857,15759
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
585.142857,16442
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
636.342857,16993
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
667.062857,17362
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
687.542857,17423
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
702.171429,17250
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
713.142857,17259
721.67619,17452
721.67619,17452
721.67619,17452
721.67619,17452
721.67619,17452
721.67619,17452
721.67619,17452
721.67619,17452
728.502857,17457
728.502857,17457
728.502857,17457
728.502857,17457
728.502857,17457
728.502857,17457
728.502857,17457
734.088312,17419
734.088312,17419
734.088312,17419
734.088312,17419
734.088312,17419
734.088312,17419
738.742857,17409
738.742857,17409
738.742857,17409
738.742857,17409
742.681319,17287
742.681319,17287
742.681319,17287
742.681319,17287
746.057143,17243
746.057143,17243
746.057143,17243
746.057143,17243
748.982857,17507
748.982857,17507
751.542857,17261
751.542857,17261
751.542857,17261
753.801681,17484
753.801681,17484
755.809524,17286
